序号,景区ID,景区名称,评论ID,用户昵称,总体评分,评论内容,发布时间,有用数,回复数,出行类型,用户所在地,游玩时长,图片数量,图片链接列表,景色评分,趣味评分,性价比评分,推荐项目
10,76865,星海广场,164385940,,5.0,友情提示：本文有点长，酌情观看 … 穿过星海广场，入目就是大海和海鸥。 说星海名副其实，阳光照在海上确实像一颗一颗的星星，看起来灿烂耀眼，混合着宝石般的蓝色和温热潮湿的海风，还有些沁人心脾。这里的海特别蓝，感觉和青岛与北戴河的海都不一样，而且这里有海鸥。 其实我原本就是冲着海鸥来的。 这是我第一次见到海鸥，我见识短浅，不懂海鸥象征着什么，但我觉得海鸥不同于我见过的其他鸟类，虽然它也随地大小便，但是它颜值高，它的翅膀与身体的比例很好。尤其飞的时候，翅膀下面白色上面黑色，扇动间好像在泼水墨。 整体线条流畅不显小气，飞起来还带着灵动和优雅。 所以我觉得不白看，听到旁边大姐卖海鸥食的时候，我给她点了个赞。 海鸥很漂亮，总是和海伴随在一起。 我记得我小的时候喜欢画海鸥，因为海鸥特别好画又显得很有意境，海也很好画。 路过一商店就打算先买个帽子，因为每次都会晒伤我的鼻子。 但他那的帽子质量不太好，又特别贵，所以我就买了个泳裤。 老板还给我便宜了五块钱。 所以鼻子果然晒伤了。 买了泳裤，就开始闲逛找地方下水，不自觉就走到了一个堤坝上。那里有一群大爷，每一个大爷都很健壮，让我都不好意思脱上衣，他们的身材都比我好。[捂脸] 有一个大爷68岁了，线条还是特别在线，P4（拍照经过大爷本人授权）。 于是我就在想：生命果然在于运动……但是他们在哪换的泳裤呢？ 我手里提着一个泳裤，特别茫然。 愣怔了一会儿。 直到我看到一个大爷白白的屁股，才算是恍然大悟。 哦～～～大爷还是你大爷，直接脱直接换。 我琢磨着我也入乡随俗，找个犄角旮旯换吧，但是我前面有一对情侣坐在船上。晃晃荡荡，晃晃荡荡，始终不走，我始终也克服不了我的羞耻心，换不了泳裤。 于是我只能假装自己单纯是来看海的，而不是来游泳的。 后来我终于抓住了一个机会，找到了一个死角，趁别人没发现，成功换上了泳裤，开心的下了水，激动的喝了一口，我就上来了。 齁着了。 游了一下午就只有一个感想特别强烈，那就是真是太咸了。 今天到我嘴里的盐量。得有去年一年的盐量，游完泳我身上一层盐。 但是杀菌。 海跟海果然是不一样的。 游完了泳。溜达到超市，买了根冰棍买了瓶水买了盒烟。 然后坐在沙滩上看海。 在我旁边坐着个大爷，牙都快掉光了，笑起来慈眉善目，看起来像活佛济公。 他笑得特别开心，我心想你有什么可开心的，让我研究研究，我也开心开心。 看他烟抽完了，我就给他递了根,2020-09-10 00:00:03,14,0,,,,12,https://dimg04.c-ctrip.com/images/0104h1200083efoab663E_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/010011200083egpn87C93_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/0105d1200083eic8r3833_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/0103l1200083ef0uo84B5_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/010691200083eh06rA4FF_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/010691200083ei8wk3A6D_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/0105d1200083ehkqsBA2A_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/0103l1200083ei17945AB_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/0100x1200083ei4e4A8F1_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/0102p1200083eg4zyDDC8_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/0102p1200083ehm3x5478_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/0105d1200083ehent9CCA_W_640_10000.jpg?proc=autoorient,5.0,5.0,5.0,
11,76865,星海广场,157935743,渭南松赞干布,5.0,星海广场始建于1993年，1997年竣工，总占地面积176万平方米，外圈周长2.5公里，由高高的写字楼包围，是北京天安门广场面积的四倍，亚洲最大的广场。广场中心处是大型的音乐喷泉，从中心广场南行，便是百年城雕，百年城雕的尽头是打开的书形广场，面对大海，大海上建的星海湾跨海大桥历历在目。从中心广场北行，则是会展中心，它是集展览、会议、贸易、金融、娱乐为一体的具有国际一流水平的现代化建筑。贯穿广场南北的中央长廊，建有喷泉水景大道。整个广场每隔20米的航标石柱灯一线排开直通大海。,2019-02-17 15:07:01,23,0,,,,15,https://dimg04.c-ctrip.com/images/100t11000000r0oxmDDD7_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/100u11000000r0m6v2C42_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/100n11000000qzpd7965A_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/100u11000000r0m6x4C00_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/100v11000000rbowz356A_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/100p11000000qzryp4201_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/100w11000000r6of6B9F6_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/100211000000r7q2tA475_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/100t11000000r0oxq0A94_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/100111000000rdkhhF135_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/100311000000r2df0DF1D_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/100u11000000r0m716316_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/100211000000r7q2y7512_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/100411000000qzmke4CB5_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/100v11000000rbox4782A_W_640_10000.jpg?proc=autoorient,5.0,5.0,5.0,
12,76865,星海广场,201367923,Kajiurasakurahio,5.0,很值得一去。广场上有很多海鸥，飞的很低，而且拍照拍出来，很清楚的可以看到整个海鸥的样貌。手里在拿着一点儿吃的，海鸥会飞的更近了。强烈推荐大连的星海广场！,2025-01-11 02:11:25,0,0,单独旅行,北京,1小时,6,https://dimg04.c-ctrip.com/images/1mh3u12000hpkm89f8926_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/1mh1e12000hplb97t5BE5_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/1mh3u12000hpkxkl88536_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/1mh5o12000hpkta7w6305_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/1mh5612000hpkty239048_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/1mh6c12000hpl3n909494_W_640_10000.jpg?proc=autoorient,5.0,5.0,5.0,
13,76865,星海广场,175241665,老周就是不老,5.0,星海广场坐落于大连西南地区方向沙河口区，城市广场终点是打开的书形城市广场，应对广阔无垠的大海，喻意着数百年后的大连市又将打开全新的一页。 星海广场背倚现代都市，遭遇深海，立在星海广场上，清凉海风迎面而来。 星海广场原是星海湾的一个废弃盐场，星海湾改造始于1993年7月16日，市政府利用建筑垃圾填海造地114公顷，开发土地62公顷，形成了总占地面积176万平方米的亚洲最大城市公用广场。 星海广场是为纪念香港回归而建。,2023-03-20 16:38:12,8,1,,四川,,10,https://dimg04.c-ctrip.com/images/1mh2612000asjuinmEDC9_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/1mh0s12000asjv3qo0481_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/1mh0k12000asjv0rzA936_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/1mh7212000asjwbla03D5_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/1mh1c12000asjs8ilA7FF_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/1mh3n12000asjzy4cADE1_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/1mh5q12000asjyne6F133_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/1mh5g12000asjue99D21A_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/1mh4d12000asjx3zfC206_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/1mh5r12000asjyx55386B_W_640_10000.jpg?proc=autoorient,5.0,5.0,4.0,星海广场-南1门;星海广场-南3门;星海广场-北2门;星海广场-南2门;星海广场-西门;星海广场-东门;星海广场-北1门
14,76865,星海广场,159159078,宏广建业,5.0,二年前来这里的时候，广场被围起来了，在施工，那时白天就直接到海边看海景，喂海鸥，不过还有广场鸽，鸽子不会游泳，在岸上，海鸥偶尔会上岸，但更多还是飞翔或者在海边。 这次来天已经黑了，但是走向广场，远远望见在喷泉⛲️表演，原来如此，施工工地建造的喷泉已经开放，加上美妙的音乐，感觉进入仙境一般。,2019-06-04 16:11:13,8,0,,,,15,https://dimg04.c-ctrip.com/images/100d15000000xae9wCAB7_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/100415000000xauxr63BE_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/100615000000xchy9EAB8_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/100e15000000xemke5305_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/100615000000xchye7F41_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/100b15000000xe9jnD917_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/100f15000000xbwa29FB0_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/100715000000xsk6s7F7C_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/100c15000000xeir5143C_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/100h15000000xdg5wDD1B_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/100815000000xc2lj9AE1_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/100d15000000xaea29A83_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/100i15000000xap1uCE9E_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/100915000000xea3tCF2B_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/100f15000000xbwab74DB_W_640_10000.jpg?proc=autoorient,5.0,5.0,5.0,
15,76865,星海广场,195486474,,5.0,星海广场不愧是大连的门面，开阔壮美，观大桥喂海鸥 ，欣赏音乐喷泉海上灯光秀，周边还有很多海鲜美食，值得打卡。,2024-10-18 22:39:44,0,0,陪同父母,浙江,2小时,6,https://dimg04.c-ctrip.com/images/1mh1512000g7al7ye13C5_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/1mh4a12000g7abp5kCF26_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/1mh6612000g7ardjrF8A5_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/1mh1q12000g7a17py2A4B_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/1mh1112000g7a5zfm6B8A_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/1mh5n12000g7b20mu2B4A_W_640_10000.jpg?proc=autoorient,5.0,5.0,5.0,大连星海广场音乐喷泉;星海广场-东门;星海广场-西门;星海广场-北2门;星海广场-南2门
16,76865,星海广场,163211708,Lxy60,5.0,大连，一座美丽的海滨城市，风光无限好，星海广场，滨临黄海，以其华表、雕塑，脚印著名，是亚州最大的城市广场，大连的标志性建筑， 美丽大连的城市魅力在这里得到了最充分的体现。 我行进在广场大道上，感受着大连这座美丽的海滨城市的繁华壮观，体会着它的无穷魅力。此时此刻，绚丽的晚霞映射在广场周围错落有致的高楼大厦上是那样的美丽壮观，赶快拍摄下了大连星海湾城市美景。,2020-04-10 20:38:34,6,0,,,,5,https://dimg04.c-ctrip.com/images/100i1f000001g36qzDCB0_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/10041f000001g3cls86CD_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/100g1f000001g52669139_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/100j1f000001g3vtbCFC6_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/10051f000001g6vgt2764_W_640_10000.jpg?proc=autoorient,5.0,5.0,5.0,
17,76865,星海广场,210780494,YoYo_9K3Z1C1V,5.0,星海广场在大连的沙河口区，广场附近十分方便，有很多酒店住宿洗浴中心，还有很多美食购物，离海边也很近，开车过去也就五分钟，重点推荐钱潮海鲜自助餐，100分好评。,2025-05-05 13:52:38,0,0,,上海,,3,https://dimg04.c-ctrip.com/images/1mh5h12000kenzr1fC965_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/1mh3h12000keoknse50A4_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/1mh1912000keovctfECBF_W_640_10000.jpg?proc=autoorient,5.0,5.0,5.0,
18,76865,星海广场,200830176,,5.0,星海跨年已经是第二次去了，人真的超多～，倒数的时候确实很有氛围～，只不过就是半夜挤地铁需要一些体力，嗷嗷跑，但是很有氛围还是很值得去的～,2025-01-02 10:17:54,1,0,,辽宁,,3,https://dimg04.c-ctrip.com/images/1mh0912000hjgp35i229A_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/1mh1512000hjgrurnA762_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/1mh6y12000hjgorm45A38_W_640_10000.jpg?proc=autoorient,5.0,5.0,5.0,
19,76865,星海广场,166826481,老少皆宜（）,5.0,辽宁大连的星海广场是亚洲最大的下沉式广场，来大连旅游的朋友都把这里作为首选景点。广场中央的音乐喷泉每天晚上表演两场，广场旁的城堡酒店非常出名，还有贝壳展览馆。在广场南侧可以欣赏跨海大桥，广场四周是各种美食餐厅。,2021-06-14 14:40:22,5,0,,,,6,https://dimg04.c-ctrip.com/images/0105n120008qcbbpd21ED_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/01057120008qcc0ie4E46_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/0104t120008qcejso067F_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/01074120008qcbjlkC6EA_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/0103l120008qcbr9tD633_W_640_10000.jpg?proc=autoorient;https://dimg04.c-ctrip.com/images/0102z120008qccipo31C7_W_640_10000.jpg?proc=autoorient,5.0,5.0,5.0,
